tipo,qtd,caso,tempo,comparacoes,copias
c,50000,0,2.536249,1250050000,729
c,50000,1,2.637047,1250050000,729
c,50000,2,2.789119,1250050000,729
c,50000,3,2.984862,1250050000,729
c,50000,4,2.908801,1250050000,729
c,50000,5,2.855376,1250050000,729
c,50000,6,2.969787,1250050000,729
c,50000,7,2.632625,1250050000,729
c,50000,8,2.896793,1250050000,729
c,50000,9,3.094543,1250050000,729
